,id,name,is_closed,url,review_count,categories,rating,price,location,Lat,Long,price_level,zip_code,city,state,new_labels,food_label,regional_label
189,BuPoAdiQh1BiMSXedZqXhw,Guatelinda Bakery,False,https://www.yelp.com/biz/guatelinda-bakery-chicago-3?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,15,['Bakeries'],4.0,$,"{'address1': '3149 W Diversey Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3149 W Diversey Ave', 'Chicago, IL 60647']}",41.931793,-87.706947,9.5,60647,chicago,IL,['Bakeries'],other,other
190,-YvlLk9bwFfRd2n5Ylswdg,Xurro,False,https://www.yelp.com/biz/xurro-chicago-8?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,43,"['Desserts', 'Coffee & Tea', 'Mexican']",4.0,$,"{'address1': '3927 N Lincoln Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60613', 'country': 'US', 'state': 'IL', 'display_address': ['3927 N Lincoln Ave', 'Chicago, IL 60613']}",41.95309,-87.67775,9.5,60613,chicago,IL,"['Coffee_Tea', 'Mexican', 'Dessert']",Coffee_Tea,Mexican
191,m4tf0OEtJZCmeh2UadbnHQ,Christina's Place,False,https://www.yelp.com/biz/christinas-place-chicago-2?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,143,"['Dive Bars', 'Irish Pub', 'American (Traditional)']",4.0,$,"{'address1': '3759 N Kedzie Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3759 N Kedzie Ave', 'Chicago, IL 60618']}",41.950182,-87.707814,9.5,60618,chicago,IL,"['Irish Pub', 'Alcohol', 'American (Traditional)']",Alcohol,American (Traditional)
192,QPr7dxBlnNipJ0R5-GMd-w,Slim's,False,https://www.yelp.com/biz/slims-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,415,"['Sandwiches', 'Halal', 'Burgers']",4.0,$,"{'address1': '2020 W Montrose Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2020 W Montrose Ave', 'Chicago, IL 60618']}",41.9615868227063,-87.6799042895436,9.5,60618,chicago,IL,['Fast_Food'],Fast_Food,other
193,Dk38LU9JWN9-pHaF8CJYoA,Subway,False,https://www.yelp.com/biz/subway-chicago-516?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,6,['Sandwiches'],4.0,$,"{'address1': '3235 W Addison St', 'address2': 'Unit A', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3235 W Addison St', 'Unit A', 'Chicago, IL 60618']}",41.9459474665579,-87.7095745285686,9.5,60618,chicago,IL,['Fast_Food'],Fast_Food,other
194,6jshyTJKUdcz0YTHyhi1ew,Mima's Taste of Cuba,False,https://www.yelp.com/biz/mimas-taste-of-cuba-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,455,"['Cuban', 'Latin American', 'Caribbean']",4.0,$,"{'address1': '2925 W Irving Park Rd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2925 W Irving Park Rd', 'Chicago, IL 60618']}",41.95365,-87.70171,9.5,60618,chicago,IL,"['Latin American', 'Caribbean', 'Cuban']",other,Latin American
195,zQH1szwJE7Rluw1qVe-UOg,Brick House Cafe,False,https://www.yelp.com/biz/brick-house-cafe-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,29,"['American (Traditional)', 'Mexican', 'Diners']",4.0,$,"{'address1': '3152 W Irving Park Rd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3152 W Irving Park Rd', 'Chicago, IL 60618']}",41.95423,-87.70775,9.5,60618,chicago,IL,"['Mexican', 'American (Traditional)']",other,Mexican
196,7AHK5kLW4rTEc6_alWT6Kw,Hangovers Sports Bar and Liquor Store,False,https://www.yelp.com/biz/hangovers-sports-bar-and-liquor-store-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,26,"['Beer, Wine & Spirits', 'Sports Bars']",4.0,$,"{'address1': '3532 N Pulaski Rd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60641', 'country': 'US', 'state': 'IL', 'display_address': ['3532 N Pulaski Rd', 'Chicago, IL 60641']}",41.9454921,-87.7275341,9.5,60641,chicago,IL,['Alcohol'],Alcohol,other
197,At1l9Pk7HsPwY9Hae15MLQ,Taqueria La Fogata,False,https://www.yelp.com/biz/taqueria-la-fogata-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,53,['Mexican'],4.0,$,"{'address1': '3930 W Montrose Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3930 W Montrose Ave', 'Chicago, IL 60618']}",41.9610834657041,-87.7263792604208,9.5,60618,chicago,IL,['Mexican'],other,Mexican
198,-gVKPvkI0wLwvOucJpbd2g,Zebda,False,https://www.yelp.com/biz/zebda-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,207,['Mediterranean'],4.0,$,"{'address1': '4344 N Elston Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60641', 'country': 'US', 'state': 'IL', 'display_address': ['4344 N Elston Ave', 'Chicago, IL 60641']}",41.959698,-87.728001,9.5,60641,chicago,IL,['Mediterranean'],other,Mediterranean
199,JXjS0SxtCGcF4_NAqYB-BQ,Roscoe Village Pub,False,https://www.yelp.com/biz/roscoe-village-pub-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,75,['Pubs'],4.0,$,"{'address1': '2159 W Addison St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2159 W Addison St', 'Chicago, IL 60618']}",41.9465996,-87.6832292,9.5,60618,chicago,IL,['Alcohol'],Alcohol,other
