,categories,is_food
306,Team Building Activities,
307,Recreation Centers,
308,Funeral Services & Cemeteries,
309,Stonemasons,
310,Traditional Chinese Medicine,
311,Zoos,
312,Health Markets,
313,Bike Repair/Maintenance,
314,Session Photography,
315,Lakes,
316,Skate Parks,
317,Swimming Pools,
318,Pet Services,
319,Shared Office Spaces,
320,Stadiums & Arenas,
321,Fishing,
322,Rafting/Kayaking,
323,Visitor Centers,
324,Skating Rinks,
325,Counseling & Mental Health,
326,Petting Zoos,
327,Reptile Shops,
328,Community Gardens,
329,Health Coach,
330,Historical Tours,
331,Horseback Riding,
332,Disc Golf,
333,Beauty & Spas,
334,Summer Camps,
335,Pet Sitting,
336,Dog Walkers,
337,Australian,1
338,Children's Museums,
339,Architectural Tours,
340,Alsatian,1
341,Shanghainese,1
342,Grill Services,1
343,Boat Repair,
344,Boating,
345,Preschools,
346,Country Clubs,
347,Gardeners,
348,Landscape Architects or Designers,
349,Amusement Parks,
350,Go Karts,
351,Shipping Centers,
352,Indonesian,1
353,International,
354,Outlet Stores,
355,Cultural Center,
